Código,# reuniones,Anticipo,Ap Asociado,Ap Beneficiario,Aporte Corfo,BG Anticipo,BG Cumplimiento,Cap. Absorción (C1),Cap. Gestión I+D (C2),Cap. Orientación Mercado (C5),Cap. PI (C4),Cap. Red (C3),Capital levantado,Correo Beneficiaria,Correo Rep Legal,Cuadrantes Innovacion,Cuota 1,Cuota 2,Dirección,ETOld,Empresa,Estado,Estado del prototipo,Estado ronda,Estado ventas,FR Inf. Av,FR Inf. Final,FR Inf. Hito,Fecha última evaluación,Fuente capital,ID Proyecto,Inf. Avance,Inf. Final,Inf. Hito ,Instrumento,Last Contact,Monto Total,Monto ventas acumulado,Nivel Aprendizajes,Nivel Mercado,Nivel Técnico,Número de clientes,Objetivos principales,Observación ejecutivo,Partners tecnológicos,Pipeline comercial,Proyecto,Recomendaciones,Representante Legal,Resultado General,Resumen del proyecto,Riesgo BG Ant,Riesgo BG Cump,Rut Empresa,SCI,SRI,Score Aprendizajes,Score Mercado,Score Técnico,Sector industria,TRL estimado,Tiene PI registrada,Tipo PI,Tipo innovación,Tipo último informe,Validación datos reales,Satisfacción NPS,Monto ahorros acumulado,Doctores en el proyecto,Personal especializado,Región ejecución,Región impacto,Gasto I+D,Dotación total,Outputs de conocimiento,IRL CRL,IRL TRL,IRL BRL,IRL IPRL,IRL TMRL,IRL FRL,Eslabón más débil IRL
IAT-1000,,,,,,,,4,4,3,4,4,"CLP 132,335,000",,,Innovadores consolidados,,,,,Aurora Materiales SpA,Cierre Financiero,Producto Funcional,En proceso,Sin ventas,,,,"January 29, 2026",Corporate,,,,,Innova Alta Tecnología,,"CLP 721,218,000",0,Logrado,Logrado,Logrado,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Aurora (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.85,4.10,4.2,3.8,4.4,Energia,TRL 7,Yes,Patente provisoria,Producto,Informe Final,Yes,8,"CLP 87,626,000",1,3,Coquimbo,Metropolitana,"CLP 198,205,000",20,6,3,7,2,5,7,4,BRL (2)
CV-1001,,,,,,,,4,4,2,3,3,0,,,Resultados sin base,,,,,Nodo Biotech SpA,Cierre Financiero,Producto Funcional,Preparando,Sin ventas,,,,"January 8, 2026",,,,,,Crea y Valida,,"CLP 135,604,000",0,Sobresaliente,Parcialmente logrado,Sobresaliente,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Nodo (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.30,4.25,4.6,3.5,4.9,Energia,TRL 6,Yes,Secreto industrial,Producto,Informe Final,No,9,0,3,11,Los Ríos,Los Ríos,"CLP 314,754,000",17,0,3,6,2,3,7,3,BRL (2)
CV-1002,,,,,,,,4,3,4,4,3,0,,,Potencial latente,,,,,Vértice Energía SpA,En reitemizacion,Prototipo Funcional,No aplica,Primeras ventas,,,,"April 13, 2026",,,,,,Crea y Valida,,"CLP 130,953,000","CLP 146,590,000",Logrado,Parcialmente logrado,Logrado,3,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Vértice (demo),Recomendaciones del ejecutivo (texto de demostración).,,Parcialmente logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.65,3.23,3.3,2.9,3.6,Energia,TRL 6,Yes,Secreto industrial,Servicio,Informe Final,Yes,6,"CLP 98,908,000",2,9,Los Lagos,Metropolitana,"CLP 166,425,000",14,0,6,6,7,3,6,2,FRL (2)
CVC-1003,,,,,,,,4,4,3,3,4,0,,,Innovadores consolidados,,,,,Brújula Analytics SpA,Cierre Financiero,Producto Funcional,Preparando,Sin ventas,,,,"February 16, 2026",,,,,,Crea y Valida,,"CLP 450,161,000",0,Logrado,Parcialmente logrado,Logrado,2,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Brújula (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.65,3.83,4.1,3.5,4.0,Mineria,TRL 6,No,,Producto,Informe Final,No,7,"CLP 73,377,000",1,7,Valparaíso,Valparaíso,"CLP 234,048,000",25,2,3,6,2,2,7,3,BRL (2)
CVI-1004,,,,,,,,3,3,2,3,3,0,,,En construcción,,,,,Cantera Robótica SpA,Revisar Inf Final,Prototipo Funcional,Preparando,Sin ventas,,,,"March 25, 2026",Bootstrapping,,,,,Crea y Valida,,"CLP 88,094,000",0,Logrado,Parcialmente logrado,Logrado,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Cantera (demo),Recomendaciones del ejecutivo (texto de demostración).,,Parcialmente logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,2.80,3.30,3.4,2.7,4.0,Mineria,TRL 6,Yes,Patente provisoria,Producto,Informe Final,No,7,"CLP 137,196,000",1,8,Maule,Maule,"CLP 177,408,000",9,1,3,6,2,5,5,3,BRL (2)
CVI-1005,,,,,,,,5,4,4,4,4,0,,,Innovadores consolidados,,,,,Delta Acuícola SpA,Revisar Inf Final,PMV,En proceso,Sin ventas,,,,"March 18, 2026",Corporate,,,,,Crea y Valida,,"CLP 205,200,000",0,Logrado,Logrado,Sobresaliente,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Delta (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,4.30,4.13,4.1,3.8,4.6,Manufactura,TRL 7,Yes,Patente provisoria,Producto,Informe Final,Yes,8,0,1,4,O'Higgins,Metropolitana,"CLP 20,380,000",18,5,3,7,2,5,8,4,BRL (2)
CVI-1006,,,,,,,,4,3,2,2,4,0,,,Resultados sin base,,,,,Ember Sensores SpA,Proyecto Cerrado,PMV,No aplica,Sin ventas,,,,"February 24, 2026",,,,,,Crea y Valida,,"CLP 167,884,000",0,Logrado,Parcialmente logrado,Logrado,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Ember (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.10,3.62,4.2,2.9,4.0,Energia,TRL 5,No,,Producto,Informe Final,No,6,0,1,5,Los Ríos,Los Ríos,"CLP 107,776,000",20,0,3,5,2,2,6,2,BRL (2)
CVI-1007,,,,,,,,4,5,4,4,4,0,,,Innovadores consolidados,,,,,Fractal Salud SpA,Proyecto Cerrado,Producto Funcional,Preparando,Piloto pagado,,,,"January 28, 2026",,,,,,Crea y Valida,,"CLP 142,171,000",0,Sobresaliente,Logrado,Sobresaliente,1,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Fractal (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,4.20,4.38,5.0,3.6,4.8,Mineria,TRL 7,Yes,Patente provisoria,Producto,Informe Final,Yes,7,0,2,6,Biobío,Metropolitana,"CLP 112,119,000",33,0,5,7,4,5,8,3,FRL (3)
CVZ-1008,,,,,,,,3,3,2,1,3,0,,,En construcción,,,,,Granito Software SpA,Cerrar IA,Prototipo Funcional,No aplica,Sin ventas,,,,"January 16, 2026",,,,,,Crea y Valida,,"CLP 238,940,000",0,Logrado,Insuficiente,Logrado,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Granito (demo),Recomendaciones del ejecutivo (texto de demostración).,,Parcialmente logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,2.50,3.27,3.7,2.4,4.0,Manufactura,TRL 4,No,,Producto,Informe Avance 1,No,7,0,3,8,Antofagasta,Metropolitana,"CLP 52,072,000",8,4,3,4,2,2,5,2,BRL (2)
EURE-1009,,,,,,,,3,4,3,2,3,0,,,Resultados sin base,,,,,Hélice Agro SpA,Proyecto Cerrado,PMV,No aplica,Sin ventas,,,,"January 20, 2026",,,,,,Eureka,,"CLP 231,506,000",0,Sobresaliente,Parcialmente logrado,Logrado,1,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Hélice (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.05,3.77,4.5,2.9,4.2,Medio Ambiente,TRL 7,No,,Producto,Informe Final,Yes,6,0,0,4,Los Ríos,Los Ríos,"CLP 82,544,000",18,2,3,7,2,2,6,2,BRL (2)
